state,id,yr,mw
Arizona,1,1999,0
Arizona,1,2000,0
Arizona,1,2001,0
Arizona,1,2002,0
Arizona,1,2003,0
Arizona,1,2004,0
Arizona,1,2005,0
Arizona,1,2006,0
Arizona,1,2007,0
Arizona,1,2008,0
Arizona,1,2009,63
Arizona,1,2010,128
Arizona,1,2011,139
Arizona,1,2012,238
Arizona,1,2013,238
California,2,1999,1616
California,2,2000,1616
California,2,2001,1683
California,2,2002,1823
California,2,2003,2025
California,2,2004,2095
California,2,2005,2149
California,2,2006,2376
California,2,2007,2439
California,2,2008,2537
California,2,2009,2798
California,2,2010,3253
California,2,2011,3917
California,2,2012,5542
California,2,2013,5830
Colorado,3,1999,22
Colorado,3,2000,22
Colorado,3,2001,61
Colorado,3,2002,61
Colorado,3,2003,223
Colorado,3,2004,231
Colorado,3,2005,231
Colorado,3,2006,291
Colorado,3,2007,1067
Colorado,3,2008,1068
Colorado,3,2009,1244
Colorado,3,2010,1299
Colorado,3,2011,1805
Colorado,3,2012,2301
Colorado,3,2013,2332
Idaho,4,1999,0
Idaho,4,2000,0
Idaho,4,2001,0
Idaho,4,2002,0
Idaho,4,2003,0
Idaho,4,2004,0
Idaho,4,2005,75
Idaho,4,2006,75
Idaho,4,2007,75
Idaho,4,2008,76
Idaho,4,2009,147
Idaho,4,2010,353
Idaho,4,2011,618
Idaho,4,2012,973
Idaho,4,2013,973
Montana,5,1999,0
Montana,5,2000,0
Montana,5,2001,0
Montana,5,2002,0
Montana,5,2003,0
Montana,5,2004,0
Montana,5,2005,137
Montana,5,2006,146
Montana,5,2007,153
Montana,5,2008,271
Montana,5,2009,375
Montana,5,2010,386
Montana,5,2011,386
Montana,5,2012,645
Montana,5,2013,645
Nevada,6,1999,0
Nevada,6,2000,0
Nevada,6,2001,0
Nevada,6,2002,0
Nevada,6,2003,0
Nevada,6,2004,0
Nevada,6,2005,0
Nevada,6,2006,0
Nevada,6,2007,0
Nevada,6,2008,0
Nevada,6,2009,0
Nevada,6,2010,0
Nevada,6,2011,0
Nevada,6,2012,152
Nevada,6,2013,152
New Mexico,7,1999,0
New Mexico,7,2000,0
New Mexico,7,2001,0
New Mexico,7,2002,0
New Mexico,7,2003,206
New Mexico,7,2004,266
New Mexico,7,2005,406
New Mexico,7,2006,496
New Mexico,7,2007,496
New Mexico,7,2008,497
New Mexico,7,2009,597
New Mexico,7,2010,700
New Mexico,7,2011,750
New Mexico,7,2012,778
New Mexico,7,2013,778
Oregon,8,1999,25
Oregon,8,2000,25
Oregon,8,2001,157
Oregon,8,2002,218
Oregon,8,2003,259
Oregon,8,2004,263
Oregon,8,2005,338
Oregon,8,2006,438
Oregon,8,2007,885
Oregon,8,2008,1067
Oregon,8,2009,1758
Oregon,8,2010,2104
Oregon,8,2011,2513
Oregon,8,2012,3153
Oregon,8,2013,3153
Utah,9,1999,0
Utah,9,2000,0
Utah,9,2001,0
Utah,9,2002,0
Utah,9,2003,0
Utah,9,2004,0
Utah,9,2005,0
Utah,9,2006,0
Utah,9,2007,0
Utah,9,2008,20
Utah,9,2009,223
Utah,9,2010,223
Utah,9,2011,325
Utah,9,2012,325
Utah,9,2013,325
Washington,10,1999,0
Washington,10,2000,0
Washington,10,2001,180
Washington,10,2002,228
Washington,10,2003,244
Washington,10,2004,241
Washington,10,2005,390
Washington,10,2006,818
Washington,10,2007,1163
Washington,10,2008,1375
Washington,10,2009,1849
Washington,10,2010,2104
Washington,10,2011,2573
Washington,10,2012,2808
Washington,10,2013,2808
Wyoming,11,1999,73
Wyoming,11,2000,91
Wyoming,11,2001,141
Wyoming,11,2002,141
Wyoming,11,2003,285
Wyoming,11,2004,285
Wyoming,11,2005,288
Wyoming,11,2006,288
Wyoming,11,2007,288
Wyoming,11,2008,676
Wyoming,11,2009,1099
Wyoming,11,2010,1412
Wyoming,11,2011,1412
Wyoming,11,2012,1410
Wyoming,11,2013,1410
Western_total,12,1999,1736
Western_total,12,2000,1754
Western_total,12,2001,2223
Western_total,12,2002,2473
Western_total,12,2003,3244
Western_total,12,2004,3381
Western_total,12,2005,4015
Western_total,12,2006,4930
Western_total,12,2007,6568
Western_total,12,2008,7587
Western_total,12,2009,10154
Western_total,12,2010,11961
Western_total,12,2011,14438
Western_total,12,2012,18325
Western_total,12,2013,18644
